Comment,Designator,Footprint,LCSC,Quantity
Conn_01x03,J1,Molex_SPOX_5268-03A_1x03_P2.50mm_Horizontal,,1
OKL-T_6-W12N-C,MD1,MURATA_OKL-T-6-W12N-C_0,,1
22u,C2,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,1
10u,C3,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,,1
10k,R7,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,,1
Conn_01x06,J4,PinSocket_1x06_P2.54mm_Vertical,,1
0.1u,C5,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,,1
10u,C1,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,,1
~,U1,VSSOP-8_2.3x2mm_P0.5mm,,1
1N4148,D1,D_DO-35_SOD27_P7.62mm_Horizontal,,1
10k,R5,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,,1
1.2k,R2,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,,1
10k,R4,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,,1
Conn_02x05_Odd_Even,J3,PinSocket_2x05_P2.54mm_Horizontal,,1
Conn_01x03,J2,Molex_SPOX_5268-03A_1x03_P2.50mm_Horizontal,,1
10u,C4,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,,1
10k,R3,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,,1
2N3906,Q1,TO-92_Inline,,1
Conn_01x02,J5,AMASS_XT30PW-M_1x02_P2.50mm_Horizontal,,1
SMAJ45CA,D2,D_SMA_Handsoldering,,1
10k,R6,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,,1
AMS1117-5.0,U3,SOT-223-3_TabPin2,,1
