Designator,Mid X,Mid Y,Rotation,Layer
C1,-15.246,31.774,90.0,top
C2,-15.295,35.318,90.0,top
C3,-4.064,51.689,0.0,top
D1,-10.246,27.774,0.0,top
D2,-10.5,17.5,0.0,top
J1,-32.52,58.355,90.0,top
J2,-33.77,62.5,90.0,top
J3,-11.5,9.025,180.0,top
J4,-20.5,57.855,180.0,top
J5,-9.5,57.855,180.0,top
Q1,-12.192,51.562,0.0,top
R1,-12.319,47.244,180.0,top
R2,-12.319,48.895,180.0,top
R3,-7.62,51.689,180.0,top
R4,-12.319,45.466,180.0,top
R5,-2.022593,48.35889,0.0,top
U1,-9.246,33.274,180.0,top
U2,-6.861,49.391,180.0,top
U3,-11.847,31.844,90.0,top
